"","PMeco","depth","pro_rep","Year","PM","ECO","lyr_top","lyr_bot","pro_name","lyr_name","fm","fm_err","d14c","d14c_err","bd_g_cm3","C","N","lyr_soc","lyr_soc_cmtv"
"12...116","BSwf","30-40",3,2019,"BS","wf",30,40,"BSwf_3","BSwf_3_30-40",0.9098,0.0026,-97.9,2.6,0.89,1.56011664867401,0.0821161866188049,1.38850381731987,11.4585955238342
"13...117","BSwf","40-50",1,2019,"BS","wf",40,50,"BSwf_1","BSwf_1_40-50",0.8323,0.0024,-174.7,2.4,0.89,1.08872747421265,0.0659987777471542,0.968967452049259,11.4457534193993
"14...118","BSwf","40-50",2,2019,"BS","wf",40,50,"BSwf_2","BSwf_2_40-50",0.8787,0.0018,-128.7,1.8,0.89,1.26165541013082,0.0757088512182236,1.12287331501643,11.1707917503516
"15...119","BSwf","40-50",3,2019,"BS","wf",40,50,"BSwf_3","BSwf_3_40-50",0.9022,0.0019,-105.4,1.9,0.89,1.15181219577789,0.0617565885186195,1.02511285424232,12.4837083780765
"16...120","BSwf","50-60",1,2019,"BS","wf",50,60,"BSwf_1","BSwf_1_50-60",0.827,0.0019,-180,1.9,0.89,1.29802060127258,0.0688967332243919,1.1552383351326,12.6009917545319
"17...121","BSwf","50-60",2,2019,"BS","wf",50,60,"BSwf_2","BSwf_2_50-60",0.9141,0.0026,-93.6,2.6,0.89,1.48464667797089,0.0802924707531929,1.32133554339409,12.4921272937457
"18...122","BSwf","50-60",3,2019,"BS","wf",50,60,"BSwf_3","BSwf_3_50-60",0.9107,0.0016,-96.9,1.6,0.89,0.849369287490845,0.0507687330245972,0.755938665866852,13.2396470439434
"19...123","BSwf","60-70",1,2019,"BS","wf",60,70,"BSwf_1","BSwf_1_60-70",0.8032,0.0027,-203.6,2.7,0.89,0.723695337772369,0.0492777079343796,0.644088850617409,13.2450806051493
"20...124","BSwf","60-70",2,2019,"BS","wf",60,70,"BSwf_2","BSwf_2_60-70",0.8569,0.0019,-150.3,1.9,0.89,1.00470268726349,0.0625828430056572,0.894185391664506,13.3863126854102
"21...125","BSwf","60-70",3,2019,"BS","wf",60,70,"BSwf_3","BSwf_3_60-70",0.8226,0.0029,-184.3,2.9,0.89,0.560638070106506,0.0399251207709312,0.49896788239479,13.7386149263382
"1...126","GRpp","0-10",1,2019,"GR","pp",0,10,"GRpp_1","GRpp_1_0-10",1.0626,0.0029,53.7,2.9,1.04862882825203,8.76190757751465,0.305370479822159,9.18798887626173,9.18798887626173
