"","PMeco","fm","lyr_bot","pro_rep","Year","PM","ECO","Al_ox","Al_py","Fe_dc","Fe_ox","year","d14c"
"137","BSpp",1.06237373425703,20,"2",2001,"basalt","warm",8.82680778847546,4.74536175646616,48.3893041649917,2.27326136105573,1,55.8396280860256
"138","BSpp",0.998179657700611,30,"2",2001,"basalt","warm",7.96982583224705,4.21171321934301,51.6521821073928,2.04282313997897,1,-7.95962422141261
"139","BSpp",1.11270819576584,10,"3",2001,"basalt","warm",8.47927902097102,4.56953397512228,46.4508757659556,2.5564697760045,1,105.864508601857
"140","BSpp",1.05123508123539,20,"3",2001,"basalt","warm",8.82680778847546,4.74536175646616,48.3893041649917,2.27326136105573,1,44.7694831035954
"141","BSpp",1.00295980286123,30,"3",2001,"basalt","warm",7.96982583224705,4.21171321934301,51.6521821073928,2.04282313997897,1,-3.20887923794433
"142","BSrf",1.04119987199688,10,"1",2001,"basalt","cold",5.62652899702271,2.18857753464796,6.76326669255518,2.83663187854641,1,34.7959951976942
"143","BSrf",1.07058692211316,20,"1",2001,"basalt","cold",11.8709992665818,2.64704042697527,8.91707652707603,3.23866872498817,1,64.0023009117789
"144","BSrf",1.03427316729576,30,"1",2001,"basalt","cold",14.2486579764587,2.79751586167425,9.62701753027015,3.42016534864106,1,27.9118930407465
"145","BSrf",1.01930986736948,10,"2",2001,"basalt","cold",5.62652899702271,2.18857753464796,6.76326669255518,2.83663187854641,1,13.0406245599295
"146","BSrf",1.00286583381694,20,"2",2001,"basalt","cold",11.8709992665818,2.64704042697527,8.91707652707603,3.23866872498817,1,-3.30227032770825
"147","BSrf",0.945659306968712,30,"2",2001,"basalt","cold",14.2486579764587,2.79751586167425,9.62701753027015,3.42016534864106,1,-60.1569496969874
"148","BSrf",1.02069461245847,10,"3",2001,"basalt","cold",5.62652899702271,2.18857753464796,6.76326669255518,2.83663187854641,1,14.4168528048543
"149","BSrf",1.03422876258867,20,"3",2001,"basalt","cold",11.8709992665818,2.64704042697527,8.91707652707603,3.23866872498817,1,27.8677614438265
"150","BSrf",0.98056094864637,30,"3",2001,"basalt","cold",14.2486579764587,2.79751586167425,9.62701753027015,3.42016534864106,1,-25.46996979504
"151","BSwf",1.02044793906406,10,"1",2001,"basalt","cool",18.3833879406017,7.02995344498555,7.54486741560158,2.60374031620789,1,14.1716965697052
"152","BSwf",1.01711200773231,20,"1",2001,"basalt","cool",20.9143932096374,4.02855771861269,10.6457699677523,2.29614424664402,1,10.8562828098764
"153","BSwf",1.01576254125412,30,"1",2001,"basalt","cool",22.686697815354,2.15227285120966,12.45425078361,2.10244120668552,1,9.51511619543655
"154","BSwf",1.0568262333455,10,"2",2001,"basalt","cool",18.3833879406017,7.02995344498555,7.54486741560158,2.60374031620789,1,50.3262469562351
"155","BSwf",1.02805742153416,20,"2",2001,"basalt","cool",20.9143932096374,4.02855771861269,10.6457699677523,2.29614424664402,1,21.7343770860587
"156","BSwf",1.01653292079208,30,"2",2001,"basalt","cool",22.686697815354,2.15227285120966,12.45425078361,2.10244120668552,1,10.2807575310728
"157","BSwf",1.05299451600357,10,"3",2001,"basalt","cool",18.3833879406017,7.02995344498555,7.54486741560158,2.60374031620789,1,46.5180965071226
"158","BSwf",1.03811857281543,20,"3",2001,"basalt","cool",20.9143932096374,4.02855771861269,10.6457699677523,2.29614424664402,1,31.73364747876
"159","BSwf",1.03115808580858,30,"3",2001,"basalt","cool",22.686697815354,2.15227285120966,12.45425078361,2.10244120668552,1,24.8159707933975
"160","GRpp",1.1407632099661,10,"1",2001,"granite","warm",1.08901427369773,1.08223136144367,7.62654034665593,0.989735495346631,1,133.746971057375
"161","GRpp",1.05597289901443,20,"1",2001,"granite","warm",0.96115055256264,0.86211550306783,8.14704269530666,0.867982880951397,1,49.4781610391004
"162","GRpp",1.01601017878838,30,"1",2001,"granite","warm",0.877345163071333,0.653991851540573,9.50367411754546,0.777225301712144,1,9.76123064051015
"163","GRpp",1.09423638739482,10,"2",2001,"granite","warm",1.08901427369773,1.08223136144367,7.62654034665593,0.989735495346631,1,87.5063106799439
"164","GRpp",1.07640072149551,20,"2",2001,"granite","warm",0.96115055256264,0.86211550306783,8.14704269530666,0.867982880951397,1,69.7803426495289
"165","GRpp",1.05189626997729,30,"2",2001,"granite","warm",0.877345163071333,0.653991851540573,9.50367411754546,0.777225301712144,1,45.4266052187497
"166","GRpp",1.16986318120564,10,"3",2001,"granite","warm",1.08901427369773,1.08223136144367,7.62654034665593,0.989735495346631,1,162.667963567007
"167","GRpp",1.06187495793654,20,"3",2001,"granite","warm",0.96115055256264,0.86211550306783,8.14704269530666,0.867982880951397,1,55.343919478271
"168","GRpp",1.03116651209929,30,"3",2001,"granite","warm",0.877345163071333,0.653991851540573,9.50367411754546,0.777225301712144,1,24.8243452583958
"169","GRrf",1.0095386264405,10,"1",2001,"granite","cold",2.70034415866976,2.70034415866976,2.49417311233336,2.00460326789689,1,3.32948143230771
"170","GRrf",0.977267798104491,20,"1",2001,"granite","cold",2.68954205973229,2.68954205973229,2.72150592369395,1.83789839965424,1,-28.7428658872989
"171","GRrf",0.977951271647361,30,"1",2001,"granite","cold",2.70497118078543,2.70497118078543,2.93805606703742,1.80538053628843,1,-28.0635960333484
"172","GRrf",1.05457861652154,10,"2",2001,"granite","cold",2.70034415866976,2.70034415866976,2.49417311233336,2.00460326789689,1,48.0924540498713
"173","GRrf",0.99775697424072,20,"2",2001,"granite","cold",2.68954205973229,2.68954205973229,2.72150592369395,1.83789839965424,1,-8.37970797602561
"174","GRrf",0.996314708636929,30,"2",2001,"granite","cold",2.70497118078543,2.70497118078543,2.93805606703742,1.80538053628843,1,-9.81310295709936
"175","GRrf",1.05852152096167,10,"3",2001,"granite","cold",2.70034415866976,2.70034415866976,2.49417311233336,2.00460326789689,1,52.0111077433887
"176","GRrf",0.982959464012327,20,"3",2001,"granite","cold",2.68954205973229,2.68954205973229,2.72150592369395,1.83789839965424,1,-23.0862064448268
"177","GRrf",0.966352532015904,30,"3",2001,"granite","cold",2.70497118078543,2.70497118078543,2.93805606703742,1.80538053628843,1,-39.5909978730677
"178","GRwf",1.11788811133764,10,"1",2001,"granite","cool",6.10012182889486,2.60923985751654,4.29521158151286,2.73261788917358,1,111.012565217423
"179","GRwf",1.03484758110477,20,"1",2001,"granite","cool",4.58623547534661,2.00122545061734,4.28988818440717,2.61820987117567,1,28.4827739303124
"180","GRwf",1.00638998270343,30,"1",2001,"granite","cool",4.38713157937025,1.66588539544517,4.39317534036228,2.56338952264469,1,0.200203358947659
"181","GRwf",1.10536651607646,10,"2",2001,"granite","cool",6.10012182889486,2.60923985751654,4.29521158151286,2.73261788917358,1,98.5679837511346
"182","GRwf",1.04113190659254,20,"2",2001,"granite","cool",4.58623547534661,2.00122545061734,4.28988818440717,2.61820987117567,1,34.7284478130738
"183","GRwf",1.02565194284056,30,"2",2001,"granite","cool",4.38713157937025,1.66588539544517,4.39317534036228,2.56338952264469,1,19.3436932360032
"184","GRwf",1.09838448587035,10,"3",2001,"granite","cool",6.10012182889486,2.60923985751654,4.29521158151286,2.73261788917358,1,91.6288963674896
"185","GRwf",1.06927638509194,20,"3",2001,"granite","cool",4.58623547534661,2.00122545061734,4.28988818440717,2.61820987117567,1,62.6998243195442
"186","GRwf",1.04998901900428,30,"3",2001,"granite","cool",4.38713157937025,1.66588539544517,4.39317534036228,2.56338952264469,1,43.5310847506987
