SampleName,PMeco,ID,dw_g,timepoint_cmtv,sheet_name,formula_check,start_date,start_date_yyyy,start_date_mm,start_date_dd.d,measurement_date,measurement_date_yyyy,measurement_month_mm,measurement_date_dd.d,time_d,mgCO2_jar
13_ANwf_comp_0-10,ANwf,ANwf_0-10_2019_a,15.07,5,2019_Inc_27.02.20,,43873.45833,2020,2,12.45833333,43888.45833,2020,2,27.45833333,15,7.65536585
14_ANwf_comp_10-20,ANwf,ANwf_10-20_2019_a,14.9,5,2019_Inc_27.02.20,,43873.45833,2020,2,12.45833333,43888.47917,2020,2,27.47916667,15.02083333,7.004057178
15_ANwf_comp_20-30,ANwf,ANwf_20-30_2019_a,15.6,5,2019_Inc_27.02.20,,43873.45833,2020,2,12.45833333,43888.47917,2020,2,27.47916667,15.02083333,8.534303737
16_ANpp_comp_0-10,ANpp,ANpp_0-10_2019_a,15.58,5,2019_Inc_27.02.20,,43873.45833,2020,2,12.45833333,43888.47917,2020,2,27.47916667,15.02083333,16.3528253
17_ANpp_comp_10-20,ANpp,ANpp_10-20_2019_a,15.5,5,2019_Inc_27.02.20,,43873.45833,2020,2,12.45833333,43888.47917,2020,2,27.47916667,15.02083333,6.895622128
18_ANpp_comp_20-30,ANpp,ANpp_20-30_2019_a,15.8,5,2019_Inc_27.02.20,,43873.45833,2020,2,12.45833333,43888.47917,2020,2,27.47916667,15.02083333,7.672089305
19_BSrf_comp_0-10,BSrf,BSrf_0-10_2019_a,15.8,5,2019_Inc_27.02.20,,43873.45833,2020,2,12.45833333,43888.47917,2020,2,27.47916667,15.02083333,7.482923757
20_BSrf_comp_10-20,BSrf,BSrf_10-20_2019_a,15.8,5,2019_Inc_27.02.20,,43873.45833,2020,2,12.45833333,43888.47917,2020,2,27.47916667,15.02083333,7.031176028
21_BSrf_comp_20-30,BSrf,BSrf_20-30_2019_a,15.4,5,2019_Inc_27.02.20,,43873.45833,2020,2,12.45833333,43888.47917,2020,2,27.47916667,15.02083333,6.354276712
22_BSwf_comp_0-10,BSwf,BSwf_0-10_2019_a,15.35,5,2019_Inc_27.02.20,,43873.45833,2020,2,12.45833333,43888.47917,2020,2,27.47916667,15.02083333,6.747969877
23_BSwf_comp_10-20,BSwf,BSwf_10-20_2019_a,15.1,5,2019_Inc_27.02.20,,43873.45833,2020,2,12.45833333,43888.47917,2020,2,27.47916667,15.02083333,5.35450328
24_BSwf_comp_20-30,BSwf,BSwf_20-30_2019_a,15.3,5,2019_Inc_27.02.20,,43873.45833,2020,2,12.45833333,43888.47917,2020,2,27.47916667,15.02083333,2.351357257
